system:index,delta_NDMI,delta_NDVI,.geo
73,-0.034025937,0.02720958,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,-0.035285354,0.026186824,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,-0.03410843,0.027572572,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,-0.032506555,0.03440219,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,-0.018829376,0.03581971,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,-0.022448927,0.032847703,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,-0.024951696,0.036021054,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,-0.01378876,0.041878104,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,-0.024619013,0.04167229,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,-0.021125764,0.03681636,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,-0.013500556,0.0349949,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,-0.027242854,0.03775668,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,-0.025492772,0.031220436,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,-0.025492772,0.031220436,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,-0.04697238,0.02186054,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,-0.056920126,0.025839627,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,-0.07976772,0.008851588,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,-0.093423575,-0.0016393065,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,-0.08896367,-7.287264E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,-0.06501344,0.0025494695,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,-0.06501344,0.0025494695,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,4.6923757E-4,-0.030727923,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,-0.015105814,-0.03377378,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,-0.015105814,-0.03377378,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,-0.012617409,-0.026375234,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,-0.013664156,-0.030488908,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,-0.088731974,-0.044054985,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,0.04733412,-0.030322611,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,-0.015543852,-0.04979843,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,-0.14700614,-0.1716826,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,-0.20541403,-0.22095662,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,-0.20541403,-0.22095662,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,-0.2692044,-0.19771105,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,-0.16158515,-0.113725066,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,-0.0850697,-0.08983278,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,-0.078264356,-0.070249796,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,-0.050596476,-0.04675722,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,-0.040521696,-0.04968053,"{""type"":""MultiPoint"",""coordinates"":[]}"
111,-0.040521696,-0.04968053,"{""type"":""MultiPoint"",""coordinates"":[]}"
112,-0.04697454,-0.05411035,"{""type"":""MultiPoint"",""coordinates"":[]}"
113,-0.02294524,-0.04427421,"{""type"":""MultiPoint"",""coordinates"":[]}"
114,-0.016255975,-0.040221512,"{""type"":""MultiPoint"",""coordinates"":[]}"
115,-0.022786677,-0.052605927,"{""type"":""MultiPoint"",""coordinates"":[]}"
116,-0.023758188,-0.043780506,"{""type"":""MultiPoint"",""coordinates"":[]}"
117,-0.03758253,-0.04006231,"{""type"":""MultiPoint"",""coordinates"":[]}"
118,-0.03758253,-0.04006231,"{""type"":""MultiPoint"",""coordinates"":[]}"
119,-0.025781766,-0.045879364,"{""type"":""MultiPoint"",""coordinates"":[]}"
120,-0.04312311,-0.05155754,"{""type"":""MultiPoint"",""coordinates"":[]}"
121,-0.034351528,-0.049007416,"{""type"":""MultiPoint"",""coordinates"":[]}"
122,-0.039478898,-0.054192364,"{""type"":""MultiPoint"",""coordinates"":[]}"
123,-0.04640992,-0.0497455,"{""type"":""MultiPoint"",""coordinates"":[]}"
124,-0.04640992,-0.0497455,"{""type"":""MultiPoint"",""coordinates"":[]}"
125,-0.042609394,-0.052867353,"{""type"":""MultiPoint"",""coordinates"":[]}"
126,-0.04257697,-0.05696994,"{""type"":""MultiPoint"",""coordinates"":[]}"
127,-0.046054527,-0.056797266,"{""type"":""MultiPoint"",""coordinates"":[]}"
128,-0.042303473,-0.050124586,"{""type"":""MultiPoint"",""coordinates"":[]}"
129,-0.04965909,-0.048586905,"{""type"":""MultiPoint"",""coordinates"":[]}"
130,-0.05079809,-0.04761082,"{""type"":""MultiPoint"",""coordinates"":[]}"
131,-0.05079809,-0.04761082,"{""type"":""MultiPoint"",""coordinates"":[]}"
132,-0.05633165,-0.050172508,"{""type"":""MultiPoint"",""coordinates"":[]}"
133,-0.051962078,-0.047110736,"{""type"":""MultiPoint"",""coordinates"":[]}"
134,-0.054908827,-0.052881658,"{""type"":""MultiPoint"",""coordinates"":[]}"
135,-0.0470642,-0.050221145,"{""type"":""MultiPoint"",""coordinates"":[]}"
136,-0.05414678,-0.05274886,"{""type"":""MultiPoint"",""coordinates"":[]}"
137,-0.048098266,-0.056571662,"{""type"":""MultiPoint"",""coordinates"":[]}"
138,-0.04842961,-0.060592055,"{""type"":""MultiPoint"",""coordinates"":[]}"
139,-0.04842961,-0.060592055,"{""type"":""MultiPoint"",""coordinates"":[]}"
140,-0.07220866,-0.053979874,"{""type"":""MultiPoint"",""coordinates"":[]}"
141,-0.061455294,-0.058107972,"{""type"":""MultiPoint"",""coordinates"":[]}"
142,-0.05337426,-0.053555787,"{""type"":""MultiPoint"",""coordinates"":[]}"
143,-0.052726716,-0.053404033,"{""type"":""MultiPoint"",""coordinates"":[]}"
144,-0.05352293,-0.049901307,"{""type"":""MultiPoint"",""coordinates"":[]}"
145,-0.0690559,-0.05378145,"{""type"":""MultiPoint"",""coordinates"":[]}"
146,-0.06780526,-0.047905684,"{""type"":""MultiPoint"",""coordinates"":[]}"
147,-0.06503308,-0.046627164,"{""type"":""MultiPoint"",""coordinates"":[]}"
148,-0.06568016,-0.043751538,"{""type"":""MultiPoint"",""coordinates"":[]}"
149,-0.054050148,-0.044878602,"{""type"":""MultiPoint"",""coordinates"":[]}"
150,-0.053967625,-0.04052317,"{""type"":""MultiPoint"",""coordinates"":[]}"
151,-0.061933026,-0.045759857,"{""type"":""MultiPoint"",""coordinates"":[]}"
152,-0.061933026,-0.045759857,"{""type"":""MultiPoint"",""coordinates"":[]}"
153,-0.059022874,-0.030041158,"{""type"":""MultiPoint"",""coordinates"":[]}"
154,-0.07731232,-0.014331758,"{""type"":""MultiPoint"",""coordinates"":[]}"
155,-0.09678958,-0.029338896,"{""type"":""MultiPoint"",""coordinates"":[]}"
156,-0.09683659,-0.04697126,"{""type"":""MultiPoint"",""coordinates"":[]}"
157,-0.09557083,-0.058756113,"{""type"":""MultiPoint"",""coordinates"":[]}"
158,-0.10237643,-0.07096404,"{""type"":""MultiPoint"",""coordinates"":[]}"
159,-0.06403033,-0.031511605,"{""type"":""MultiPoint"",""coordinates"":[]}"
160,-0.06403033,-0.031511605,"{""type"":""MultiPoint"",""coordinates"":[]}"
161,-0.027526975,-0.045508325,"{""type"":""MultiPoint"",""coordinates"":[]}"
162,-0.05355704,-0.015878558,"{""type"":""MultiPoint"",""coordinates"":[]}"
163,-0.05895324,-0.009492278,"{""type"":""MultiPoint"",""coordinates"":[]}"
164,-0.046230882,-0.024049878,"{""type"":""MultiPoint"",""coordinates"":[]}"
165,-0.044236273,-0.026008725,"{""type"":""MultiPoint"",""coordinates"":[]}"
